platform,store_name,review_text,tokens,food_score,price_score,service_score,atmosphere_score,general_score,category_total_score,category_total_label,food_label,price_label,service_label,atmosphere_label,general_label,food_matched_words,price_matched_words,service_matched_words,atmosphere_matched_words,general_matched_words
naver,각시보쌈,밥먹는 중에 찌개에서 이물질이 나와 사장님으로 보이는 분께 말씀드렸더니 참치에서 나올수있는 이물질이다라는 식의 말도안되는 이상한 핑계를 대시면서 그럴수도 있지라는 엉뚱한 대처로 적당히 대충 마무리 하시길래 정상적인 대화가 어려울거같아 그냥 리뷰로 남깁니다. 사과만 똑바로해주셨다면 워낙 유명한 집이고 항시 바쁜데다 보니 하시다보면 그럴수도있지라고 생각하고 넘어갈수있는 상황임에도 굳이 저렇게 이상한 응대를 하는건 상식적으로 좀 아닌거같습니다. 다들 식사하실때 이물질없는지 음식 잘보시고 확인하고 드시길.,먹다 찌개 물질 나오다 사장 보이다 말씀드리다 참치 나오다 물질 안되다 이상하다 핑계 대다 그렇다 엉뚱하다 대처 적당하다 대충 마무리 정상 대화 어리다 같다 그냥 리뷰 남기다 사과 똑바로 해주다 워낙 유명하다 항시 바쁘다 보다 보다 그렇다 생각 넘어가다 상황 굳이 저렇게 이상하다 응대 상식 아니다 같다 들다 식사 물질 음식 보다 확인 들다,1,0,-1,0,-6,-6,negative,positive,neutral,negative,neutral,negative,적당하다:1[token],,말씀드리다:0[token] 사과:-1[token],,안되다:-1[token] 이상하다:-1[token] 대충:-1[token] 바쁘다:-1[token] 굳이:-1[token] 상식:-1[token]
naver,각시보쌈,요즘 같은 고물가시대에 더 가치가 돋보이는 혜자스러운 보쌈집입니다.. 가성비 좋고 푸짐하고 맛있는 점심한끼 사먹기 딱 좋습니다.. 1인씩 보쌈고기가 따로 제공되서 위생적이기도 하고 모호한 양이 아닌 각각 정량이 제공되는 장점까지 있어요.. 그리고 함께 제공되는 참치김치찌개도 별미입니다.. 찌개만으로도 밥 한공기는 거뜬히 비울 맛입니다.. 보쌈 고기도 가브리살 부위로 제공되 잡내없고 아주 부드럽습니다... 거기다 카운터를 보는 키 큰 여자분 손님응대가 참 친절하세요.. 덕분에 늘 기분 좋게 식사 하고 갑니다..,요즘 같다 고물 가시대 가치 돋보이다 혜자 보쌈 이다 가성 좋다 푸다 맛있다 점심 먹기 좋다 보쌈 고기 따로 제공 위생 모호하다 아니다 각각 정량 제공 장점 함께 제공 참치 김치찌개 별미 이다 찌개 공기 거뜬하다 비우다 이다 보쌈 고기 가다 브리 부위 제공 잡다 아주 부드럽다 거기 카운터 보다 크다 여자 손님 응대 차다 친절하다 덕분 기분 좋다 식사 가다,5,4,2,0,2,13,positive,positive,positive,positive,neutral,positive,먹기 좋다:1[token] 별미 이다:1[token] 거뜬하다 비우다:1[token] 맛있다:1[token] 부드럽다:1[token],고물 가시대 가치:1[token] 가성 좋다:1[token] 혜자:1[token] 푸다:1[token],덕분 기분 좋다:1[token] 차다 친절하다:1[token],,혜자:1[token] 크다:1[token]
naver,각시보쌈,"브레이크 타임 끝나고 들어갔어요. 각시 정식. 항정살 수육과 두부와 참치가 들어간 김치찌개까지 나와서 배부른 한상 입니다. 상추 추가시 2,000원인데 고기와 상추 갯수가 같으니까 추가 주문할 일은 없을듯- 5시 이후엔 1인 정식 주문이 안될수 있으니 참고하세요.",브레이크 타임 끝나다 들어가다 각시 정식 항정살 수육 두부 참치 들어가다 김치찌개 나오다 배부르다 이다 상추 가시 고기 상추 갯수 같다 추가 주문 이후 정식 주문 안되다 참고,1,0,0,0,-1,0,neutral,positive,neutral,neutral,neutral,negative,배부르다:1[token],,,,안되다:-1[token]
naver,각시보쌈,3시간 지나니깐 나가라고 눈치줘요. 양심껏 술 시키고 안주시켰는데.. 기분 안좋게 쫒겨나다시피 나왔네요. 다신 안갈꺼에요. 3-4번 방문했는데. 이런 푸대접 처음이네요. 다신 안가요!!,지나 나가다 눈치 주다 양심 시키다 안주 시키다 기분 안좋다 쫒다 기다 나오다 다시다 갈다 방문 이렇다 푸대접 처음 다시다 알다,0,0,-1,0,-1,-2,negative,neutral,neutral,negative,neutral,negative,,,푸대접:-1[token],,기분 안좋다:-1[token]
naver,각시보쌈,평일 점심인데도 사람 정말 많아요 보쌈 너무 맛있어요,평일 점심 사람 정말 많다 보쌈 너무 맛있다,2,0,0,0,0,2,positive,positive,neutral,neutral,neutral,neutral,너무 맛있다:2[token],,,,
naver,각시보쌈,저는 보쌈을 별로 안 좋아합니다. 아내가 국밥류 전체.밀가루.물고기.양식.브런치.빵 등등을 별로 안 좋아해서 이것저것 제외하면 갈 곳이 별로 없습니다. T T,보쌈 별로 좋아하다 아내 국밥 전체 밀가루 물고기 양식 브런치 등등 별로 좋아하다 제외 갈다 별로,0,0,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,,,,,별로:-1[token] 좋아하다:1[token]
naver,각시보쌈,지인 추천으로 방문 금요일 갔더니 손님이 너무 많네요. 웨이팅이 있긴 했지만 음식이 맛있어서 또 갈듯.,지인 추천 방문 금요일 가다 손님 너무 많다 웨이팅 음식 맛있다 갈다,1,0,0,0,1,2,positive,positive,neutral,neutral,neutral,positive,음식 맛있다:1[token],,,,추천:1[token]
naver,각시보쌈,"올때마다 대기후 입장이었는데 대기없이 기분좋게 자리잡고, 벗과 함께 즐겁게 먹고 마시고 왔습니다 항정살 보쌈이라 부드럽고 입안에서 살살 녹는 식감 너무 좋아요",기후 입장 이다 대기 없이 기분 좋다 자리 잡고 함께 즐겁다 먹다 말다 오다 항정살 보쌈 부드럽다 입안 살살 녹다 식감 너무 좋다,2,0,1,1,4,8,positive,positive,neutral,positive,positive,positive,살살:1[token] 녹다:1[token],,대기 없이:1[token],보쌈 부드럽다:1[token],기분 좋다:1[token] 너무 좋다:2[token] 즐겁다:1[token]
naver,각시보쌈,근처 참손길 마사지왔다가 방문했어요 각시보쌈은 애매한시간에 오는게 꿀팁 고기야들야들 보쌈김치도 맛있고 찬도 많은데 이가격 안믿겨요ㅠㅠ 각시보쌈 가게 오래오래 해주세요 ❤️,근처 차다 손길 마사지 오다 방문 보쌈 애매하다 시간 오다 꿀팁 고기 야들야들 보쌈김치 맛있다 많다 가격 믿다 각시 보쌈 가게 오래오래 해주다,2,0,0,0,-1,1,positive,positive,neutral,neutral,neutral,negative,야들야들:1[token] 맛있다:1[token],,,,애매하다:-1[token]
naver,각시보쌈,보쌈이 먹고싶을때 첫번째로 생각나는 각시집~ 고기가 야들야들하고 씹을수록 고소해서 배가부른데도 끊임없이 들어가는맛 ㅎ보쌈+참치김치찌개는 환상궁합 웨이팅이 길어서 오래기다리는 불편함이 있지만 맛있으니까 😢,보쌈 먹다 생각나다 시집 고기 야들야들하다 씹다 고소하다 부르다 끊임없다 들어가다 보쌈 참치 김치찌개 환상 궁합 웨이팅 기다 오래 기다리다 불편하다 맛있다,3,0,0,-2,0,1,positive,positive,neutral,neutral,negative,neutral,야들야들하다:1[token] 고소하다:1[token] 맛있다:1[token],,,오래 기다리다:-1[token] 불편하다:-1[token],오래 기다리다:-1[token] 환상:1[token] 궁합:1[token] 불편하다:-1[token]
