platform,store_name,review_count,mean_trust_score,median_trust_score,low_ratio,high_ratio,pred_real_ratio
kakao,훼미리손칼국수보쌈,75,8.564,9.9,0.1467,0.68,0.6
kakao,장인닭갈비 홍대점,162,8.2593,8.45,0.0926,0.8395,0.6667
kakao,옥동식 서교점,130,8.0485,7.7,0.1385,0.7462,0.5846
kakao,황금콩밭,60,8.04,8.0,0.1333,0.7333,0.6333
kakao,소문난성수감자탕,248,7.5177,8.1,0.1815,0.7016,0.6089
kakao,일등식당,56,7.4018,7.25,0.1607,0.625,0.5714
kakao,할머니의레시피,45,7.1911,7.8,0.0889,0.6444,0.5778
kakao,태양곱창 성수,78,6.4526,6.95,0.1795,0.7308,0.6282
kakao,각시보쌈,60,6.2733,7.7,0.2167,0.6833,0.6
kakao,굴다리식당,44,6.1295,4.6,0.2273,0.5682,0.4773
kakao,원조조박집 본관,37,5.7054,6.7,0.3243,0.5946,0.5676
kakao,성수족발,42,5.5881,5.1,0.1905,0.619,0.4524
kakao,능동미나리 성수점,158,5.5759,5.35,0.2785,0.5823,0.4873
kakao,보끔당 성수점,26,4.9769,3.8,0.2692,0.5,0.4231
kakao,을밀대 본점,199,4.1759,3.7,0.3216,0.5377,0.4372
kakao,금금,40,3.98,3.5,0.3,0.525,0.45
kakao,마포양지설렁탕 도화점,46,3.0935,2.55,0.3696,0.4783,0.413
kakao,뼈탄집 성수역점,193,2.8793,3.5,0.3212,0.4974,0.3834
kakao,락희옥 마포본점,39,2.5103,3.5,0.2821,0.5128,0.359
kakao,육지,200,2.0635,3.0,0.345,0.455,0.33
kakao,이태리국시 성수,200,1.693,3.0,0.39,0.455,0.295
kakao,쭌곱창,168,1.1357,1.75,0.4464,0.381,0.3095
kakao,육산장 홍대본점,200,-0.4025,-0.2,0.555,0.335,0.23
kakao,홍대 조선시대,200,-0.9165,0.15,0.535,0.305,0.17
naver,이태리국시 성수,200,10.692,10.75,0.015,0.915,0.855
naver,옥동식,183,10.4617,12.6,0.1148,0.7814,0.7377
naver,훼미리손칼국수보쌈,191,9.9864,12.4,0.1571,0.7696,0.7068
naver,소문난성수감자탕,199,9.3925,11.1,0.1407,0.7688,0.6633
naver,할머니의 레시피,87,8.5414,10.3,0.1609,0.7586,0.6782
naver,홍대 육지,200,8.453,8.7,0.095,0.825,0.7
naver,금금 성수점,200,8.1895,8.7,0.1,0.745,0.645
naver,을밀대 평양냉면,196,8.0679,8.55,0.1735,0.7092,0.6224
naver,성수족발,150,8.012,9.3,0.1667,0.72,0.6333
naver,황금콩밭,105,8.0086,9.6,0.181,0.6952,0.619
naver,뼈탄집 성수역점,200,7.931,7.6,0.09,0.825,0.645
naver,능동미나리 성수지점,198,7.5359,8.0,0.2121,0.7071,0.6212
naver,각시보쌈,188,7.4463,9.1,0.2234,0.6755,0.6117
naver,원조 조박집 본관,104,6.3144,6.85,0.2115,0.6731,0.5962
naver,일등식당,103,6.2262,5.7,0.2233,0.6602,0.5049
naver,굴다리식당,85,6.0576,7.4,0.2353,0.6353,0.5529
naver,보끔당 성수점,200,5.078,4.75,0.21,0.57,0.43
naver,락희옥 마포본점,195,4.8779,4.4,0.1949,0.5949,0.4308
naver,쭌곱창,200,4.51,4.6,0.265,0.58,0.44
naver,조선시대,200,4.2075,4.9,0.25,0.63,0.455
naver,육산장 홍대본점,200,3.813,4.0,0.265,0.545,0.38
naver,태양곱창 성수점,200,3.3405,3.95,0.3,0.555,0.365
naver,마포양지설렁탕,104,3.1288,3.8,0.3077,0.5385,0.3846
naver,장인닭갈비 홍대점,194,2.2113,3.15,0.366,0.4536,0.3454
