platform,store_name,account_id,account_review_count,visit_date,visit_count,verification_method,review_text,review_length,has_photo,rating,account_avg_rating,reviewer_level,manual_label,trust_score,pred_label,trust_level,trust_weight,rating_x_trust_weight,trust_reasons,generic_count,reason_count,menu_count,category_count,number_detail_count,generic_negative_count,detailed_negative_count,event_word_count,intensifier_count,quality_detail_count,sensory_detail_count,waiting_popularity_count,experience_context_count,temporal_context_count,mixed_opinion_count,sentence_count,has_generic_praise,strong_generic_praise,has_reason,strong_reason,has_menu,has_number_detail,has_generic_negative,has_detailed_negative,has_quality_detail,strong_quality_detail,has_sensory_detail,strong_sensory_detail,has_waiting_popularity,has_experience_context,has_temporal_context,has_mixed_opinion,multi_sentence_review,short_review,ultra_short_review,short_generic_review,generic_without_detail,low_information_review,specific_review,popularity_only_review,enthusiastic_but_detailed,positive_narrative,mixed_opinion_review,temporal_experience_review,menu_price_listing_only,short_but_specific_food_review,detailed_negative_narrative,first_visit,revisit,account_review_count_is_1,account_review_count_under_5,account_review_count_under_10,account_review_count_over_50,account_review_count_over_100,split
naver,소문난성수감자탕,reviewer_000929,92,2026-04-28,1.0,,오랜만에 한국 온 친구가 먹고 싶다던 한식. 10시 30분에 성수역에 만나서 갔더니 웨이팅 없이 바로 입장했어요. 평일 11시전에는 웨이팅 없는 듯. 일본인 초딩도 맛있다고 함,98,0,,,,0,15.499999999999998,1,high,1.0,,first_visit:-0.2 | experience_context:+1.0 | temporal_context:+1.0 | temporal_experience_review:+1.0 | mixed_opinion_review:+1.5 | has_reason_with_length:+0.8 | strong_reason_with_length:+0.8 | category_count:+1.4 | rich_category_context:+0.8 | multi_sentence_with_length:+0.8 | has_number_detail:+1 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | waiting_or_popularity_context:+0.2 | enthusiastic_but_detailed_rich:+0.5 | account_review_count_over_50:+0.7,1,2,0,2,3,0,2,0,0,0,0,2,8,2,0,4,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,train
naver,금금 성수점,reviewer_000983,30,2026-04-10,1.0,,고기도 많이 들어있고 맛있어용 버섯 싫어해서 하나는 빼달라고 미리 말씀드렸더니 빼고 해주셨습니당!! 가게도 깔끔하고 좋았어유,69,1,,,,0,11.4,1,high,1.0,,first_visit:-0.2 | has_menu:+0.3 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | has_reason_with_length:+0.8 | category_count:+1.4 | rich_category_context:+0.8 | multi_sentence_with_length:+0.8 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | enthusiastic_but_not_rich:+0 | photo_without_enough_detail:-0.2,2,2,1,2,0,0,1,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,train
naver,조선시대,reviewer_000356,16,2026-04-25,1.0,영수증,대기있었는데 금방 빠져서 바로 들어갈 수 있었어요!! 딸기 막걸리 맛있어료 추천,44,1,,,,0,9.7,1,high,1.0,,first_visit:-0.2 | experience_context:+1.0 | has_menu:+0.3 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | category_count:+0.7 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | waiting_or_popularity_context:+0.2 | enthusiastic_but_not_rich:+0 | short_but_menu_only_food_review:+0.2 | photo_without_enough_detail:-0.2,2,2,1,1,0,0,1,0,0,0,0,1,1,0,0,2,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,train
naver,쭌곱창,reviewer_000397,8,2026-04-23,1.0,영수증,낭만 가득한 인테리어와 맛있는 음식에 첫 데이트 장소로 골랐었는데 그때 이후로 좋은 관계로 발전해서 연인과 기념일마다 식사하러 오고있어요!,77,1,,,,1,4.7,0,high,1.0,,account_review_count_under_10:-0.2 | first_visit:-0.2 | experience_context:+1.0 | has_reason_with_length:+0.8 | strong_reason_with_length:+0.8 | category_count:+1.4 | rich_category_context:+0.8 | enthusiastic_but_detailed_rich:+0.5 | photo_without_enough_detail:-0.2,1,3,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,train
naver,금금 성수점,reviewer_000941,172,2026-04-26,1.0,,음식이 깔끔하고 맛있어요. 숯불 향이 진해서 색다른 매력을 느낄 수 있었어요. 매장도 깨끗하고 직원분들도 친절하셔서 기분 좋게 식사했습니다.,78,1,,,,0,9.9,1,high,1.0,,first_visit:-0.2 | experience_context:+1.0 | has_quality_detail:+0.6 | has_sensory_detail:+0.6 | positive_narrative:+2.0 | has_reason_with_length:+0.8 | strong_reason_with_length:+0.8 | category_count:+1.4 | rich_category_context:+0.8 | multi_sentence_with_length:+0.8 | enthusiastic_but_detailed_rich:+0.5 | account_review_count_over_100:+1.0 | photo_without_enough_detail:-0.2,2,4,0,2,0,0,0,0,0,1,1,0,3,0,0,3,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,train
kakao,이태리국시 성수,reviewer_002001,1,2026-04-02,,영수증,성수에서 파스타 먹고 싶어서 엄마랑 방문했는데 맛있구 양도 꽤 푸짐해서 배불리 먹구 갑니당ㅎㅎ 직원들도 친절해요!,63,1,5.0,5.0,브론즈 레벨,0,6.699999999999999,1,high,1.0,5.0,account_review_count_is_1:-1.0 | experience_context:+1.0 | has_menu:+0.3 | has_sensory_detail:+0.6 | menu_sensory_review:+1.0 | positive_narrative:+2.0 | has_reason_with_length:+0.8 | category_count:+1.4 | rich_category_context:+0.8 | enthusiastic_but_not_rich:+0 | photo_without_enough_detail:-0.2,2,4,1,2,0,0,0,0,0,0,1,0,4,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,train
naver,소문난성수감자탕,reviewer_001742,30,2026-01-13,1.0,영수증,성수에 늦게까지하는곳이 없는데 늦은시간까지해서 좋다. 맛도있다. 밥보다는 수제비를 추천쓰 암튼 배불러,56,1,,,,0,9.6,1,high,1.0,,first_visit:-0.2 | experience_context:+1.0 | has_menu:+0.3 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | has_reason_with_length:+0.8 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | enthusiastic_but_not_rich:+0 | short_but_menu_only_food_review:+0.2 | photo_without_enough_detail:-0.2,1,2,2,0,0,0,2,0,0,0,0,0,1,0,0,3,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,train
kakao,이태리국시 성수,reviewer_002024,3,2026-03-29,,영수증,일요일 11시30분 오픈런했어요~웨이팅.없이 식사했구요~시그니처.메뉴들.위주로 먹었어요~약간 매콤한 메뉴들이.많아서 너무 좋았고...주말 낮에 가볍게 와인한잔이랑 너무 어울리는 메뉴들입니다! ^^,109,1,5.0,5.0,브론즈 레벨,0,14.999999999999998,1,high,1.0,5.0,account_review_count_under_5:-0.5 | experience_context:+1.0 | has_sensory_detail:+0.6 | strong_sensory_detail:+0.5 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | has_reason_with_length:+0.8 | category_count:+1.4 | rich_category_context:+0.8 | multi_sentence_with_length:+0.8 | has_number_detail:+1 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | waiting_or_popularity_context:+0.2 | enthusiastic_but_detailed_rich:+0.5 | has_photo_with_detail:+0.2,1,1,0,2,2,0,1,0,2,0,2,1,4,0,0,10,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,train
kakao,성수족발,reviewer_000923,68,2025-08-22,,,와....세상에 이렇게 맛있는 족발이있었다니... 진짜 괜히 3대족발이 아니었어요...대박 너무 맛있고 또 생각나는 그 족발의 고기?? 꼭 가보세요. 안가시면 후회하실수도! https://m.blog.naver.com/seonghun39/223978709984,145,1,5.0,4.3,골드 레벨,0,12.899999999999999,1,high,1.0,5.0,temporal_context:+1.0 | temporal_experience_review:+1.0 | has_menu:+0.3 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | category_count:+0.7 | multi_sentence_with_length:+0.8 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | enthusiastic_but_detailed_rich:+0.5 | account_review_count_over_50:+0.7 | has_photo_with_detail:+0.2,3,0,5,1,0,0,2,0,3,0,0,0,0,1,0,10,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,train
naver,금금 성수점,reviewer_001077,352,2026-02-25,3.0,,신메뉴 미나리 갈비국밥 먹었습니다! 상큼 깔끔한 맛이 좋았습니다. 갈비뼈 발라주셔서 고기만 있어서 먹기 좋았습니다!,64,1,,,,0,7.199999999999999,1,high,1.0,,experience_context:+1.0 | has_menu:+0.3 | positive_narrative:+2.0 | has_reason_with_length:+0.8 | category_count:+0.7 | multi_sentence_with_length:+0.8 | enthusiastic_but_not_rich:+0 | revisit:+0.8 | account_review_count_over_100:+1.0 | photo_without_enough_detail:-0.2,2,1,5,1,0,0,0,0,0,0,0,0,1,0,0,3,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,train
