platform,store_name,account_id,account_review_count,visit_date,visit_count,verification_method,review_text,review_length,has_photo,rating,account_avg_rating,reviewer_level,trust_score,pred_label,trust_level,trust_weight,rating_x_trust_weight,trust_reasons,generic_count,reason_count,menu_count,category_count,number_detail_count,generic_negative_count,detailed_negative_count,event_word_count,intensifier_count,quality_detail_count,sensory_detail_count,waiting_popularity_count,experience_context_count,temporal_context_count,mixed_opinion_count,sentence_count,has_generic_praise,strong_generic_praise,has_reason,strong_reason,has_menu,has_number_detail,has_generic_negative,has_detailed_negative,has_quality_detail,strong_quality_detail,has_sensory_detail,strong_sensory_detail,has_waiting_popularity,has_experience_context,has_temporal_context,has_mixed_opinion,multi_sentence_review,short_review,ultra_short_review,short_generic_review,generic_without_detail,low_information_review,specific_review,popularity_only_review,enthusiastic_but_detailed,positive_narrative,mixed_opinion_review,temporal_experience_review,menu_price_listing_only,short_but_specific_food_review,detailed_negative_narrative,first_visit,revisit,account_review_count_is_1,account_review_count_under_5,account_review_count_under_10,account_review_count_over_50,account_review_count_over_100
kakao,각시보쌈,reviewer_000001,67,2026-05-02,,,"주변에 살고 있기에 오가며 보면, 대기인원이 제법있기에 맛이 궁금했다. 마침 어버이 날이라 가족과 방문했다. 주문메뉴는 쟁반국수, 홍어, 보쌈 세가지 주문함. 이제부터 맛점수 : 쟁반국수:★(엄청 달고 겨자가 너무 많아 먹기 힘듬) 보쌈:★★★ (사진발, 보쌈밑에 상추로 기초공사) 홍어 : ★★★★★(정말 제대로 삭힌 홍어:갑) 홍어를 즐길 줄 아는 친구랑은 방문의사 있어도 쟁반, 보쌈으로는 재방문의사 없음.",230,0,2,2.9,실버 레벨,14.499999999999998,1,high,1.0,2.0,experience_context:+1.0 | temporal_context:+1.0 | temporal_experience_review:+1.0 | has_menu:+0.3 | mixed_opinion_review:+1.5 | has_reason_with_length:+0.8 | strong_reason_with_length:+0.8 | category_count:+1.4 | rich_category_context:+0.8 | multi_sentence_with_length:+0.8 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | waiting_or_popularity_context:+0.2 | account_review_count_over_50:+0.7,0,2,7,3,0,0,2,0,2,0,0,2,7,1,0,4,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
kakao,각시보쌈,reviewer_000002,128,2026-04-27,,,런치 정식 가성비 말이 안됨. 다른 곳이면 최소 2배 이상 받았음. 다만 맛이 엄청 훌륭한건 아닌 괜찮은 정도.,62,1,3,2.5,실버 레벨,3.2,0,ambiguous,0.5,1.5,menu_without_experience_detail:-1.0 | has_menu:+0.3 | mixed_opinion_review:+1.5 | mixed_opinion_context:+0.8 | multi_sentence_with_length:+0.8 | account_review_count_over_100:+1.0 | photo_without_enough_detail:-0.2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
kakao,각시보쌈,reviewer_000003,7,2026-04-22,,,보쌈정식 가성비가 너무 좋음,15,1,5,5.0,브론즈 레벨,-6.4,0,low,0.2,1.0,short_low_specificity:-1.5 | short_generic_review:-2 | no_number_detail_with_praise:-1 | menu_without_experience_detail:-1.0 | account_review_count_under_10:-0.2 | has_menu:+0.3 | short_but_menu_only_food_review:+0.2 | photo_without_enough_detail:-0.2 | kakao_5star_short_low_specificity:-1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
kakao,각시보쌈,reviewer_000004,43,2026-04-17,,,가끔 손님이 많아서 대기를 해야할 때가 있어요! 그 만큼 가격과 맛 퀄리티 모두 백점 만점에 95점 정도 주고 싶어요~! 보쌈이 땡기는 날~~ 붐비지 않는 시간 때에 가세요! 후회없는 선택이 되실 듯!!,113,1,5,3.2,실버 레벨,12.299999999999997,1,high,1.0,5.0,experience_context:+1.0 | has_menu:+0.3 | mixed_opinion_review:+1.5 | mixed_opinion_context:+0.8 | has_reason_with_length:+0.8 | strong_reason_with_length:+0.8 | category_count:+0.7 | multi_sentence_with_length:+0.8 | has_number_detail:+1 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | waiting_or_popularity_context:+0.2 | has_photo_with_detail:+0.2,0,2,1,1,1,0,2,0,0,0,0,1,1,0,1,5,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
kakao,각시보쌈,reviewer_000005,267,2026-04-15,,,1인식사 거절당함 소보원 신고예정 - 소보원 접수 후 진행 중 - 2026.04.15. 시정조치 완료 그래도 가면 또 거절하겠지,71,0,1,3.7,골드 레벨,5.1,0,high,1.0,1.0,experience_context:+1.0 | temporal_context:+1.0 | temporal_experience_review:+1.0 | has_menu:+0.3 | multi_sentence_with_length:+0.8 | account_review_count_over_100:+1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
kakao,각시보쌈,reviewer_000006,7,2026-04-11,,,완전 맛있습니다! :) 특히 수육이 진짜 미쳤더라고요. 근데 주말에 사람이 너무 많음ㅠㅠ 어떤 시간이건 사람이 많다는 단점 빼고 맛만 보면 여기가 최고!👍,86,1,5,4.4,실버 레벨,13.9,1,high,1.0,5.0,account_review_count_under_10:-0.2 | experience_context:+1.0 | has_menu:+0.3 | has_quality_detail:+0.6 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | mixed_opinion_context:+0.8 | category_count:+1.4 | rich_category_context:+0.8 | multi_sentence_with_length:+0.8 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | enthusiastic_but_detailed_rich:+0.5 | has_photo_with_detail:+0.2,2,0,1,2,0,0,1,0,4,1,0,0,2,0,2,4,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0
kakao,각시보쌈,reviewer_000007,23,2026-04-01,,,가성비 하나 보고 간다,12,0,4,4.5,실버 레벨,-3.5,0,low,0.2,0.8,short_low_specificity:-1.5 | low_information_review:-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kakao,각시보쌈,reviewer_000008,390,2026-03-15,,,구성이 좋고 가성비도 좋아요. 웨이팅 생각 보다 빨리 줄어서 기다려볼만함,40,0,5,4.5,골드 레벨,6.6000000000000005,1,high,1.0,5.0,popularity_only_without_detail:-1 | mixed_opinion_review:+1.5 | category_count:+0.7 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | waiting_or_popularity_context:+0.2 | enthusiastic_but_not_rich:+0 | account_review_count_over_100:+1.0,1,1,0,1,0,0,1,0,0,0,0,2,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1
kakao,각시보쌈,reviewer_000009,1736,2026-03-10,,,"적당한 식감의 맛과 퀄리티를 모두 갖춘 가브리살 보쌈정식은 웨이팅도 기꺼이 감내하는 최고의 가성비를 뽐낸다. □ 보쌈정식 인당 10,500원 ■ 주차불가",85,1,4,3.6,퍼플 레벨,18.7,1,high,1.0,4.0,experience_context:+1.0 | has_menu:+0.3 | has_quality_detail:+0.6 | has_sensory_detail:+0.6 | menu_sensory_review:+1.0 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | has_reason_with_length:+0.8 | strong_reason_with_length:+0.8 | category_count:+1.4 | rich_category_context:+0.8 | multi_sentence_with_length:+0.8 | has_number_detail:+1 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | waiting_or_popularity_context:+0.2 | enthusiastic_but_detailed_rich:+0.5 | account_review_count_over_100:+1.0 | has_photo_with_detail:+0.2,1,2,2,2,1,0,1,0,0,1,1,1,1,0,0,2,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1
kakao,각시보쌈,reviewer_000010,81,2026-02-26,,,정식 양 많고 싸고 맛있어요 웨이팅 빨리 빠져서 기다릴만 합니다,35,0,5,4.9,실버 레벨,3.6000000000000005,0,high,1.0,5.0,popularity_only_without_detail:-1 | category_count:+0.7 | has_detailed_negative:+1.5 | detailed_negative_narrative:+1.5 | waiting_or_popularity_context:+0.2 | enthusiastic_but_not_rich:+0 | account_review_count_over_50:+0.7,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
