platform,store_name,account_id,account_review_count,visit_date,visit_count,verification_method,review_text,review_length,has_photo,rating,account_avg_rating,reviewer_level,manual_label,trust_score,pred_label,trust_level,trust_weight,rating_x_trust_weight,trust_reasons,generic_count,reason_count,menu_count,category_count,number_detail_count,generic_negative_count,detailed_negative_count,event_word_count,intensifier_count,quality_detail_count,sensory_detail_count,waiting_popularity_count,experience_context_count,temporal_context_count,mixed_opinion_count,sentence_count,has_generic_praise,strong_generic_praise,has_reason,strong_reason,has_menu,has_number_detail,has_generic_negative,has_detailed_negative,has_quality_detail,strong_quality_detail,has_sensory_detail,strong_sensory_detail,has_waiting_popularity,has_experience_context,has_temporal_context,has_mixed_opinion,multi_sentence_review,short_review,ultra_short_review,short_generic_review,generic_without_detail,low_information_review,specific_review,popularity_only_review,enthusiastic_but_detailed,positive_narrative,mixed_opinion_review,temporal_experience_review,menu_price_listing_only,short_but_specific_food_review,detailed_negative_narrative,first_visit,revisit,account_review_count_is_1,account_review_count_under_5,account_review_count_under_10,account_review_count_over_50,account_review_count_over_100,split
kakao,원조조박집 본관,reviewer_000178,10.0,2025-03-30,,영수증,왁자지껄 오손도손 심플하지만 맛난 갈비???? 찬으로 내어주시는 동치미로 시작해서 쌈 공기밥은 필수에 찌개는 빠트리면 서운한데 왠걸 시레기가 가득. 마포 공덕에선 조박집??,96,1,5.0,4.6,실버 레벨,1,5.2,0,high,1.0,5.0,has_menu:+0.3 | mixed_opinion_review:+1.5 | mixed_opinion_context:+0.8 | has_reason_with_length:+0.8 | strong_reason_with_length:+0.8 | multi_sentence_with_length:+0.8 | has_photo_with_detail:+0.2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,train
kakao,금금 성수점,reviewer_000456,46.0,2025-02-28,,,스파게티의 알 덴테를 연상시키는 면의 톡톡한 식감. 맛이 깊진 않지만 청량하고 깔끔함. 양이 푸짐하진 않고 가성비도 좋은 편은 아니나 면을 좋아한다면 한 번은 와볼만함,93,1,4.0,3.8,실버 레벨,0,10.3,1,high,1.0,4.0,has_menu:+0.3 | has_quality_detail:+0.6 | has_sensory_detail:+0.6 | strong_sensory_detail:+0.5 | menu_sensory_review:+1.0 | positive_narrative:+2.0 | has_reason_with_length:+0.8 | strong_reason_with_length:+0.8 | category_count:+1.4 | rich_category_context:+0.8 | multi_sentence_with_length:+0.8 | enthusiastic_but_detailed_rich:+0.5 | has_photo_with_detail:+0.2,1,4,3,2,0,0,0,0,0,1,2,0,0,0,0,3,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,train
kakao,훼미리손칼국수보쌈,reviewer_001310,1.0,2025-06-01,,,"위생최악 고추 달라고 했더니 뒤 테이블이 남긴 고추 ?? 그대로 갖다 주네요 .식사중인 저희 테이블에서 수저통 정리,주변 테이블 다대기통 하나로 합치기를 자꾸하시는지.. 보쌈 맛은 평범 칼국수면은 흐물텅 합니다. 왜 줄서서 먹는지 이해 안감 다시는 안가요",142,0,1.0,1.0,브론즈 레벨,1,11.999999999999998,1,high,1.0,1.0,account_review_count_is_1:-1.0 | experience_context:+1.0 | temporal_context:+1.0 | temporal_experience_review:+1.0 | has_menu:+0.3 | mixed_opinion_review:+1.5 | has_reason_with_length:+0.8 | category_count:+1.4 | rich_category_context:+0.8 | multi_sentence_with_length:+0.8 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | waiting_or_popularity_context:+0.2,0,1,4,2,0,1,5,0,0,0,0,2,1,1,0,5,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,train
kakao,홍대 조선시대,reviewer_000363,11.0,2026-05-01,,,분위기 좋고 데이트하기 너무 좋아요????부대찌개도 푸짐하고 너무 맛있었어요ㅎㅎㅎ,45,1,5.0,5.0,브론즈 레벨,0,5.3999999999999995,0,high,1.0,5.0,has_menu:+0.3 | has_sensory_detail:+0.6 | positive_narrative:+2.0 | has_reason_with_length:+0.8 | category_count:+1.4 | enthusiastic_but_not_rich:+0 | short_but_specific_food_review:+0.5 | photo_without_enough_detail:-0.2,2,1,1,2,0,0,0,0,2,0,1,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,train
kakao,할머니의 레시피,reviewer_001239,11.0,2025-05-29,,,정갈하고 맛있네용 웨이팅 좀 있고 쌈밥정식은 돈갖ㅅ하는거 같아요,35,1,4.0,2.6,실버 레벨,0,2.2,0,ambiguous,0.5,2.0,menu_without_experience_detail:-1.0 | popularity_only_without_detail:-1 | has_menu:+0.3 | category_count:+0.7 | has_detailed_negative:+1.5 | detailed_negative_narrative:+1.5 | waiting_or_popularity_context:+0.2 | enthusiastic_but_not_rich:+0 | short_but_menu_only_food_review:+0.2 | photo_without_enough_detail:-0.2,1,1,2,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,train
kakao,금금 성수점,reviewer_000445,19.0,2025-11-03,,,보리된장국수가 말이 안되게 맛있어요,19,1,5.0,3.9,실버 레벨,0,-6.2,0,low,0.2,1.0,short_low_specificity:-1.5 | short_generic_review:-2 | no_number_detail_with_praise:-1 | menu_without_experience_detail:-1.0 | has_menu:+0.3 | short_but_menu_only_food_review:+0.2 | photo_without_enough_detail:-0.2 | kakao_5star_short_low_specificity:-1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,train
kakao,마포양지설렁탕 도화점,reviewer_000096,6.0,2026-01-07,,영수증,"설렁탕 , 내장탕 둘 다 먹어봄. 그냥 무난한 맛인데 가격이 넘 비싸게 받는거 같음. 청양고추 달라했는데 왜 달라고 하냐, 원래 수육 시켜야만 주는거다 등등 계속 뭐라함. 결국 나갈때까지 안줘서 포기함. 만사천원 주고 밥 먹는데 청양고추 좀 달라고 한게 그렇게 아까운건지,, 다신 안갈듯;;",162,0,1.0,3.0,브론즈 레벨,1,10.299999999999999,1,high,1.0,1.0,account_review_count_under_10:-0.2 | has_menu:+0.3 | has_quality_detail:+0.6 | mixed_opinion_review:+1.5 | mixed_opinion_context:+0.8 | has_reason_with_length:+0.8 | strong_reason_with_length:+0.8 | category_count:+0.7 | multi_sentence_with_length:+0.8 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5,0,5,1,1,0,1,5,0,0,1,0,0,0,0,2,5,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,train
kakao,소문난성수감자탕,reviewer_000691,63.0,2026-03-04,,영수증,진짜 정말 그냥 관광객빨. 절대로 줄 설만한곳 아닙니다. 특히 김치가 정말 너무 맛없어요. 외국인들이 여기가 한국의 맛이구나 할걸 생각하면 속이 뒤집힐정도……,88,0,1.0,2.0,실버 레벨,1,8.4,1,high,1.0,1.0,has_menu:+0.3 | mixed_opinion_review:+1.5 | category_count:+0.7 | multi_sentence_with_length:+0.8 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | waiting_or_popularity_context:+0.2 | account_review_count_over_50:+0.7,0,0,2,1,0,1,2,0,2,0,0,1,0,0,0,4,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,train
kakao,소문난성수감자탕,reviewer_000795,22.0,2025-08-21,,,"진짜 외국인들한테 제발 여기만은 가지말라고 뜯어말리고 싶은 곳. 성수동 갈 때마다 사람들 줄 서있어서 얼마나 맛있을까하고 호기심에 가봤으나 식당이 화를 불러 일으키게 만드는 재주가 있음. 반찬이라곤 김치랑 오이고추 빼고 찾아볼 수 없으며,메뉴 고민중에 빨리 안시킬거면 얼른 나가라는 식의 직원태도. 감자탕 또한 특색 전혀 없고 동네에 깔린 할매순대국에서 먹는게 오히려 나을정도의 퀄리티. 외국인상대로 장사 잘 되니까 아주 돈맛에 찌들었는지 공기밥이 하나에 무려2000원 뼈해장국 기본12000원 ㅋㅋㅋ (강남 국밥집도 이렇게는 안해요^^) 가격보고 무슨 프리미엄 국밥집인줄 알았으나 매장직원들 뭐 달라고 얘기해도 대답 안하는건 기본, 건성건성 툭툭, 볶음밥도 불켜놓고 국물 졸이는데 고사 지내는줄 ; 그리고선 결제할 때만 친절 ㅋㅋ 국밥집 공기밥2000원 받는거 보고 진짜 여기 사장이랑 같은 한국인 인게 창피할정도로 외국인한테 부끄러움은 덤으로 가져갑니다. 제발 정신차리세요",490,0,1.0,2.4,실버 레벨,1,18.1,1,high,1.0,1.0,experience_context:+1.0 | temporal_context:+1.0 | temporal_experience_review:+1.0 | has_menu:+0.3 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | mixed_opinion_context:+0.8 | has_reason_with_length:+0.8 | strong_reason_with_length:+0.8 | category_count:+1.4 | rich_category_context:+0.8 | multi_sentence_with_length:+0.8 | has_number_detail:+1 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | waiting_or_popularity_context:+0.2 | enthusiastic_but_detailed_rich:+0.5,2,5,16,2,3,0,4,0,2,0,0,3,4,1,1,6,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,train
kakao,원조조박집 본관,reviewer_000156,109.0,2025-12-03,,영수증,이게 밑반찬 끝. 아 갈비를 못찍음.근데 진짜 맛은 있다. 또갈예정 . 가격은 점점 올라가..생갈비는 걍 .. 기본 돼지갈비추천 굽느라손은바쁨..상추는 청상추. 주차는 건너편공영주차장으로,104,1,4.0,3.3,골드 레벨,0,15.799999999999999,1,high,1.0,4.0,experience_context:+1.0 | temporal_context:+1.0 | temporal_experience_review:+1.0 | has_menu:+0.3 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | mixed_opinion_context:+0.8 | has_reason_with_length:+0.8 | category_count:+0.7 | multi_sentence_with_length:+0.8 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | enthusiastic_but_detailed_rich:+0.5 | account_review_count_over_100:+1.0 | has_photo_with_detail:+0.2,1,1,4,1,0,1,2,0,1,0,0,0,2,1,2,9,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,train
