platform,store_name,review_count,mean_trust_score,median_trust_score,low_ratio,high_ratio,pred_real_ratio
naver,이태리국시 성수,200,10.692,10.75,0.015,0.915,0.855
naver,옥동식,183,10.4617,12.6,0.1148,0.7814,0.7377
naver,훼미리손칼국수보쌈,191,9.9864,12.4,0.1571,0.7696,0.7068
naver,소문난성수감자탕,199,9.3925,11.1,0.1407,0.7688,0.6633
naver,할머니의 레시피,87,8.5414,10.3,0.1609,0.7586,0.6782
naver,홍대 육지,200,8.453,8.7,0.095,0.825,0.7
naver,금금 성수점,200,8.1895,8.7,0.1,0.745,0.645
naver,을밀대 평양냉면,196,8.0679,8.55,0.1735,0.7092,0.6224
naver,성수족발,150,8.012,9.3,0.1667,0.72,0.6333
naver,황금콩밭,105,8.0086,9.6,0.181,0.6952,0.619
naver,뼈탄집 성수역점,200,7.931,7.6,0.09,0.825,0.645
naver,능동미나리 성수지점,198,7.5359,8.0,0.2121,0.7071,0.6212
naver,각시보쌈,188,7.4463,9.1,0.2234,0.6755,0.6117
naver,원조 조박집 본관,104,6.3144,6.85,0.2115,0.6731,0.5962
naver,일등식당,103,6.2262,5.7,0.2233,0.6602,0.5049
naver,굴다리식당,85,6.0576,7.4,0.2353,0.6353,0.5529
naver,보끔당 성수점,200,5.078,4.75,0.21,0.57,0.43
naver,락희옥 마포본점,195,4.8779,4.4,0.1949,0.5949,0.4308
naver,쭌곱창,200,4.51,4.6,0.265,0.58,0.44
naver,조선시대,200,4.2075,4.9,0.25,0.63,0.455
naver,육산장 홍대본점,200,3.813,4.0,0.265,0.545,0.38
naver,태양곱창 성수점,200,3.3405,3.95,0.3,0.555,0.365
naver,마포양지설렁탕,104,3.1288,3.8,0.3077,0.5385,0.3846
naver,장인닭갈비 홍대점,194,2.2113,3.15,0.366,0.4536,0.3454
