platform,store_name,account_id,account_review_count,visit_date,visit_count,verification_method,review_text,review_length,has_photo,rating,account_avg_rating,reviewer_level,manual_label,trust_score,pred_label,trust_level,trust_weight,rating_x_trust_weight,trust_reasons,generic_count,reason_count,menu_count,category_count,number_detail_count,generic_negative_count,detailed_negative_count,event_word_count,intensifier_count,quality_detail_count,sensory_detail_count,waiting_popularity_count,experience_context_count,temporal_context_count,mixed_opinion_count,sentence_count,has_generic_praise,strong_generic_praise,has_reason,strong_reason,has_menu,has_number_detail,has_generic_negative,has_detailed_negative,has_quality_detail,strong_quality_detail,has_sensory_detail,strong_sensory_detail,has_waiting_popularity,has_experience_context,has_temporal_context,has_mixed_opinion,multi_sentence_review,short_review,ultra_short_review,short_generic_review,generic_without_detail,low_information_review,specific_review,popularity_only_review,enthusiastic_but_detailed,positive_narrative,mixed_opinion_review,temporal_experience_review,menu_price_listing_only,short_but_specific_food_review,detailed_negative_narrative,first_visit,revisit,account_review_count_is_1,account_review_count_under_5,account_review_count_under_10,account_review_count_over_50,account_review_count_over_100,split
naver,마포양지설렁탕,reviewer_000494,408.0,2025-11-26,2.0,영수증,포장해 와서 먹었어요 김치도 듬뿍 줘서 김치 걱정 없어요,31,0,,,,0,2.3,0,ambiguous,0.5,,has_menu:+0.3 | short_but_menu_only_food_review:+0.2 | revisit:+0.8 | account_review_count_over_100:+1.0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,train
naver,조선시대,reviewer_000375,33.0,2026-04-17,1.0,영수증,소주 3병 뚝딱입니다아 친구가 먹어보고 싶다 해서 들렀는데 대화하기도 넘 좋고 어묵탕도 존맛 ??????,58,0,,,,0,2.3,0,ambiguous,0.5,,first_visit:-0.2 | experience_context:+1.0 | has_reason_with_length:+0.8 | category_count:+0.7 | enthusiastic_but_not_rich:+0,1,2,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,train
naver,장인닭갈비 홍대점,reviewer_000315,11.0,2026-04-14,1.0,영수증,"리뷰쓰면 캔 음료 준다길래 같이 온 친구가 닭갈비 나오기 전에 리뷰 썼더니 음식 사진도 올려달라해서 올렸는데요(음식 나오고 나서 영수증을 줬으면 몰라도) 리뷰 별점을 5점으로 올려달라고 하더라고요? 거기서 기분이 팍... 직원 중에 외국인 2명이 있었는데 뭐라고 설명하는지 모르겠고 닭갈비 맛도 특별히 맛있는 맛은 아니였던 것 같습니다 그리고 온라인에 있는 메뉴랑 현장 메뉴랑 1,000원 차이가 났었습니다 이렇게 리뷰를 강요하듯이 하는 곳은 처음이네요 (음료 받고 쓰는 리뷰 아닙니다 결제 후 받은 영수증입니다)",287,0,,,,1,16.9,1,high,1.0,,first_visit:-0.2 | experience_context:+1.0 | temporal_context:+1.0 | temporal_experience_review:+1.0 | has_menu:+0.3 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | has_reason_with_length:+0.8 | strong_reason_with_length:+0.8 | category_count:+1.4 | rich_category_context:+0.8 | multi_sentence_with_length:+0.8 | has_number_detail:+1 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | enthusiastic_but_detailed_rich:+0.5,1,3,6,3,3,0,3,0,0,0,0,0,6,2,0,3,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,train
naver,을밀대 평양냉면,reviewer_000265,688.0,2026-03-27,1.0,영수증,맛나다 유명 맛집은 다르다는 걸 알게되었다 주전자로 주는 사골육수도 좋았다,41,1,,,,1,-6.5,0,low,0.2,,strong_generic_without_specificity:-1.5 | generic_without_detail:-3 | no_number_detail_with_praise:-1 | first_visit_short_low_specificity:-1 | popularity_only_without_detail:-1 | waiting_or_popularity_context:+0.2 | account_review_count_over_100:+1.0 | photo_without_enough_detail:-0.2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,train
naver,홍대 육지,reviewer_000230,42.0,2026-04-27,1.0,영수증,고기 질이랑 맛이 엄청납니다 육즙 엄청나요 특별한 메뉴도 있어서 새로운 경험했어요 감사합니다. 담에 또 올게요 !!!,65,1,,,,0,10.600000000000001,1,high,1.0,,first_visit:-0.2 | temporal_context:+1.0 | temporal_experience_review:+1.0 | has_menu:+0.3 | has_quality_detail:+0.6 | has_sensory_detail:+0.6 | menu_sensory_review:+1.0 | mixed_opinion_review:+1.5 | multi_sentence_with_length:+0.8 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | photo_without_enough_detail:-0.2,0,0,1,0,0,0,1,0,2,1,1,0,0,1,0,2,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,train
naver,태양곱창 성수점,reviewer_000947,3.0,2026-04-04,1.0,,"유명한 태양곱창 왔어요!! 곱창이 너무 땡기는데, 유명하고 맛있다고 해서 가족이랑 같이 왔는데 역시나 맛있고 양도 많아요!!! 기본맛은 적당히 매콤하고 쫄깃합니다. 강추해요!! ??????",105,1,,,,1,10.2,1,high,1.0,,account_review_count_under_5:-0.5 | first_visit:-0.2 | experience_context:+1.0 | has_menu:+0.3 | has_sensory_detail:+0.6 | strong_sensory_detail:+0.5 | menu_sensory_review:+1.0 | positive_narrative:+2.0 | has_reason_with_length:+0.8 | strong_reason_with_length:+0.8 | category_count:+1.4 | rich_category_context:+0.8 | multi_sentence_with_length:+0.8 | waiting_or_popularity_context:+0.2 | enthusiastic_but_detailed_rich:+0.5 | has_photo_with_detail:+0.2,3,6,2,2,0,0,0,0,1,0,2,2,3,0,0,4,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,train
naver,금금 성수점,reviewer_000718,59.0,2026-04-25,1.0,,생각한것보다 훨씬 맛있어서 놀랬어요! 존맛 또와야지,28,1,,,,0,0.09999999999999992,0,low,0.2,,short_generic_but_specific:-0.2 | first_visit:-0.2 | enthusiastic_but_not_rich:+0 | account_review_count_over_50:+0.7 | photo_without_enough_detail:-0.2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,train
naver,태양곱창 성수점,reviewer_000941,13.0,2026-04-09,1.0,,오랜만에 곱창 전골 먹는데 곱창 양이 너무 많아서 깜짝 놀랐어요 당면 양도 많아 든든합니다 비오는 날인데 따뜻하게 한 끼 맛있게 먹었어요!,77,1,,,,1,8.6,1,high,1.0,,first_visit:-0.2 | experience_context:+1.0 | temporal_context:+1.0 | temporal_experience_review:+1.0 | has_menu:+0.3 | has_sensory_detail:+0.6 | menu_sensory_review:+1.0 | positive_narrative:+2.0 | has_reason_with_length:+0.8 | strong_reason_with_length:+0.8 | enthusiastic_but_detailed_rich:+0.5 | photo_without_enough_detail:-0.2,1,3,4,0,0,0,0,0,1,0,1,0,2,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,train
naver,태양곱창 성수점,reviewer_000953,13.0,2026-04-04,1.0,,잘먹었슺니다,6,1,,,,0,-2.4000000000000004,0,low,0.2,,ultra_short_review:-2 | first_visit:-0.2 | photo_without_enough_detail:-0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,train
naver,할머니의 레시피,reviewer_001142,559.0,2025-08-20,1.0,,세상에나 너~~~~어무 제마음에 쏘옥든 한식집 처음 친구한테 가게이름을 들었을땐 동네 할머니가 하시는 백반집인가…했는데 :) 요런 힙한곳인줄 몰랐네요 평일 1시정도 방문했더니 웨이팅없이 바로 입장 기본반찬도 깔끔하게 나오고 반상에 나오는 호박죽이 아주 맛도립니다 간장게장을 주문하면 작은 버터조각이 곁들여 나오는데 따뜻한밥에 간장게장 양념과 같이 넣으니 우와와아아아앙bb 전메뉴 다 먹어보고 싶어요 서율숲가면 꼬옥 들려보세요 재방문의사*100000%,251,1,,,,1,19.0,1,high,1.0,,first_visit:-0.2 | experience_context:+1.0 | temporal_context:+1.0 | temporal_experience_review:+1.0 | has_menu:+0.3 | has_quality_detail:+0.6 | strong_quality_detail:+0.5 | has_sensory_detail:+0.6 | strong_sensory_detail:+0.5 | menu_sensory_review:+1.0 | mixed_opinion_review:+1.5 | has_reason_with_length:+0.8 | strong_reason_with_length:+0.8 | category_count:+1.4 | rich_category_context:+0.8 | multi_sentence_with_length:+0.8 | has_number_detail:+1 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | waiting_or_popularity_context:+0.2 | account_review_count_over_100:+1.0 | has_photo_with_detail:+0.2,0,7,7,3,1,0,1,0,0,3,4,2,9,2,0,2,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,train
