feature,coefficient,abs_coefficient
has_menu,0.43917585070895115,0.43917585070895115
rating,-0.4159509067360929,0.4159509067360929
short_but_specific_food_review,-0.40214301281483156,0.40214301281483156
menu_count,0.3882785572002232,0.3882785572002232
review_length,0.38564407336974016,0.38564407336974016
short_review,-0.287892184874701,0.287892184874701
positive_narrative,0.18997020574636395,0.18997020574636395
ultra_short_review,-0.1837903713379362,0.1837903713379362
specific_review,0.17806697045559475,0.17806697045559475
short_generic_review,-0.17793341106979932,0.17793341106979932
account_avg_rating,-0.1608212305180346,0.1608212305180346
mixed_opinion_review,0.1586801609438885,0.1586801609438885
has_generic_praise,-0.14660978011354797,0.14660978011354797
mixed_opinion_count,0.1339448868343216,0.1339448868343216
first_visit,-0.12234898220745948,0.12234898220745948
has_photo,-0.11927958564455815,0.11927958564455815
detailed_negative_count,0.11432004643821819,0.11432004643821819
generic_without_detail,-0.11045165275221117,0.11045165275221117
has_mixed_opinion,0.10669623481437698,0.10669623481437698
strong_quality_detail,0.10139938923666908,0.10139938923666908
reason_count,0.09791962591179328,0.09791962591179328
low_information_review,-0.09134906417969674,0.09134906417969674
strong_reason,0.0833641345818657,0.0833641345818657
platform_kakao,0.08110922044437599,0.08110922044437599
category_count,0.07933648816368861,0.07933648816368861
number_detail_count,0.07683027590363824,0.07683027590363824
temporal_experience_review,0.07577706420803053,0.07577706420803053
account_review_count_over_50,0.07453102077091676,0.07453102077091676
strong_generic_praise,-0.07418765287748869,0.07418765287748869
reviewer_level_브론즈 레벨,-0.07200940682601435,0.07200940682601435
has_sensory_detail,0.07053113506594973,0.07053113506594973
account_review_count_is_1,-0.06831287026536188,0.06831287026536188
sensory_detail_count,0.06633821642126823,0.06633821642126823
has_number_detail,0.06610770082166781,0.06610770082166781
has_quality_detail,0.06604316514065517,0.06604316514065517
platform_naver,-0.06400310327783544,0.06400310327783544
has_temporal_context,0.06397044014656592,0.06397044014656592
generic_negative_count,0.06341450151680364,0.06341450151680364
sentence_count,0.06167165295197188,0.06167165295197188
has_generic_negative,0.060137797196246595,0.060137797196246595
waiting_popularity_count,0.053053929399093515,0.053053929399093515
has_experience_context,0.051978807005007635,0.051978807005007635
revisit,-0.048850000725096855,0.048850000725096855
menu_price_listing_only,-0.04723264239446854,0.04723264239446854
account_review_count_over_100,0.0439390212941392,0.0439390212941392
experience_context_count,0.04177464520083459,0.04177464520083459
multi_sentence_review,0.040007423322908235,0.040007423322908235
split_train,0.03893936448090407,0.03893936448090407
temporal_context_count,-0.03714878805500779,0.03714878805500779
reviewer_level_실버 레벨,0.0342298350532753,0.0342298350532753
has_waiting_popularity,0.03388060122588516,0.03388060122588516
visit_count,-0.031224142712091923,0.031224142712091923
quality_detail_count,0.02940197254174249,0.02940197254174249
account_review_count_under_10,0.027882017191268958,0.027882017191268958
verification_method_예약,0.026801413319898316,0.026801413319898316
reviewer_level_블루 레벨,0.02621184103441704,0.02621184103441704
reviewer_level_골드 레벨,0.022906777654489268,0.022906777654489268
has_reason,-0.022711930875091317,0.022711930875091317
strong_sensory_detail,0.022477791310871586,0.022477791310871586
split_test,-0.021833247314364056,0.021833247314364056
event_word_count,-0.018990458058694357,0.018990458058694357
has_detailed_negative,-0.016763311755653102,0.016763311755653102
popularity_only_review,0.015065188168539731,0.015065188168539731
detailed_negative_narrative,-0.014788807257910742,0.014788807257910742
account_review_count_under_5,-0.013769801745018902,0.013769801745018902
verification_method_영수증,-0.009482172228759921,0.009482172228759921
intensifier_count,0.008077956596552215,0.008077956596552215
enthusiastic_but_detailed,-0.005823163932000072,0.005823163932000072
reviewer_level_퍼플 레벨,0.005767070250372233,0.005767070250372233
account_review_count,0.001766354125542371,0.001766354125542371
verification_method_포장,-0.0002131239246004136,0.0002131239246004136
generic_count,-0.00018787527574453327,0.00018787527574453327
