feature,importance
review_length,0.2384413018659979
menu_count,0.09083227998532835
short_review,0.06818562899578619
has_menu,0.05896982543933482
mixed_opinion_review,0.054845864654259814
sentence_count,0.044700361457630323
rating,0.0394237136695435
reason_count,0.03095028692836353
short_but_specific_food_review,0.030731346128376476
specific_review,0.025474978663767245
detailed_negative_count,0.02223370119565233
short_generic_review,0.021942227016533356
detailed_negative_narrative,0.020547811414639097
account_avg_rating,0.02004120358643796
strong_reason,0.01860431972537976
has_detailed_negative,0.016337595700992642
account_review_count,0.01569658402967369
positive_narrative,0.014496324829893529
experience_context_count,0.012218861974981225
category_count,0.009455316836637697
generic_count,0.009344477114696501
mixed_opinion_count,0.007825416175194591
multi_sentence_review,0.006861228253889425
has_generic_praise,0.006272212546901368
has_mixed_opinion,0.006242146368433553
sensory_detail_count,0.005593135785428223
reviewer_level_브론즈 레벨,0.005200950044048665
has_reason,0.005035077054334624
has_photo,0.004961974463431757
low_information_review,0.00437399099566338
intensifier_count,0.004164295755352977
has_experience_context,0.003967702141261239
strong_generic_praise,0.00384848731472644
waiting_popularity_count,0.0037852402323829914
first_visit,0.0037306865222921514
temporal_context_count,0.0036565991605527442
platform_naver,0.0035826933064194064
has_waiting_popularity,0.003556255037817605
quality_detail_count,0.003521401943792031
platform_kakao,0.0034988859670931627
enthusiastic_but_detailed,0.003316198461314593
has_quality_detail,0.00331111497333279
account_review_count_over_100,0.0030140063294583
has_number_detail,0.002879582300054098
account_review_count_over_50,0.002829281617052439
generic_without_detail,0.0027918855402520293
temporal_experience_review,0.0026457919167639185
reviewer_level_실버 레벨,0.0025784518283578656
has_sensory_detail,0.002482377053462396
number_detail_count,0.002194154799881673
account_review_count_under_10,0.0021246951643075066
has_temporal_context,0.002072768150233675
account_review_count_is_1,0.0017672959518168967
has_generic_negative,0.0017063350080900777
generic_negative_count,0.0015175993068339054
account_review_count_under_5,0.0015013740359163233
split_train,0.001341070157681352
reviewer_level_골드 레벨,0.001228816495354065
split_test,0.0010844656429806498
popularity_only_review,0.0008978812670283522
strong_sensory_detail,0.0007470331847691923
ultra_short_review,0.0006776586168747345
visit_count,0.0005670613241851535
revisit,0.0005340300943404665
strong_quality_detail,0.0005258987699070003
verification_method_영수증,0.00021873208169456
verification_method_예약,0.0002073109812707758
reviewer_level_블루 레벨,8.47386638630399e-05
event_word_count,0.0
menu_price_listing_only,0.0
verification_method_포장,0.0
reviewer_level_퍼플 레벨,0.0
