platform,store_name,account_id,account_review_count,visit_date,visit_count,verification_method,review_text,review_length,has_photo,rating,account_avg_rating,reviewer_level,trust_score,pred_label,trust_level,trust_weight,rating_x_trust_weight,trust_reasons,generic_count,reason_count,menu_count,category_count,number_detail_count,generic_negative_count,detailed_negative_count,event_word_count,intensifier_count,quality_detail_count,sensory_detail_count,waiting_popularity_count,experience_context_count,temporal_context_count,mixed_opinion_count,sentence_count,has_generic_praise,strong_generic_praise,has_reason,strong_reason,has_menu,has_number_detail,has_generic_negative,has_detailed_negative,has_quality_detail,strong_quality_detail,has_sensory_detail,strong_sensory_detail,has_waiting_popularity,has_experience_context,has_temporal_context,has_mixed_opinion,multi_sentence_review,short_review,ultra_short_review,short_generic_review,generic_without_detail,low_information_review,specific_review,popularity_only_review,enthusiastic_but_detailed,positive_narrative,mixed_opinion_review,temporal_experience_review,menu_price_listing_only,short_but_specific_food_review,detailed_negative_narrative,first_visit,revisit,account_review_count_is_1,account_review_count_under_5,account_review_count_under_10,account_review_count_over_50,account_review_count_over_100,clean_text,tokens,tokens_pos,token_count
naver,각시보쌈,likeorhate,10,2026.04.28,1,영수증,밥먹는 중에 찌개에서 이물질이 나와 사장님으로 보이는 분께 말씀드렸더니 참치에서 나올수있는 이물질이다라는 식의 말도안되는 이상한 핑계를 대시면서 그럴수도 있지라는 엉뚱한 대처로 적당히 대충 마무리 하시길래 정상적인 대화가 어려울거같아 그냥 리뷰로 남깁니다. 사과만 똑바로해주셨다면 워낙 유명한 집이고 항시 바쁜데다 보니 하시다보면 그럴수도있지라고 생각하고 넘어갈수있는 상황임에도 굳이 저렇게 이상한 응대를 하는건 상식적으로 좀 아닌거같습니다. 다들 식사하실때 이물질없는지 음식 잘보시고 확인하고 드시길.,281,1,,,,11.999999999999996,1,high,1,,first_visit:-0.2 | experience_context:+1.0 | has_menu:+0.3 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | has_reason_with_length:+0.8 | category_count:+0.7 | multi_sentence_with_length:+0.8 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | waiting_or_popularity_context:+0.2 | enthusiastic_but_detailed_rich:+0.5 | has_photo_with_detail:+0.2,1,1,5,1,0,0,4,0,0,0,0,1,2,0,0,3,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,밥먹는 중에 찌개에서 이물질이 나와 사장님으로 보이는 분께 말씀드렸더니 참치에서 나올수있는 이물질이다라는 식의 말도안되는 이상한 핑계를 대시면서 그럴수도 있지라는 엉뚱한 대처로 적당히 대충 마무리 하시길래 정상적인 대화가 어려울거같아 그냥 리뷰로 남깁니다 사과만 똑바로해주셨다면 워낙 유명한 집이고 항시 바쁜데다 보니 하시다보면 그럴수도있지라고 생각하고 넘어갈수있는 상황임에도 굳이 저렇게 이상한 응대를 하는건 상식적으로 좀 아닌거같습니다 다들 식사하실때 이물질없는지 음식 잘보시고 확인하고 드시길,먹다 찌개 물질 나오다 사장 보이다 말씀드리다 참치 나오다 물질 안되다 이상하다 핑계 대다 그렇다 엉뚱하다 대처 적당하다 대충 마무리 정상 대화 어리다 같다 그냥 리뷰 남기다 사과 똑바로 해주다 워낙 유명하다 항시 바쁘다 보다 보다 그렇다 생각 넘어가다 상황 굳이 저렇게 이상하다 응대 상식 아니다 같다 들다 식사 물질 음식 보다 확인 들다,먹다/Verb 찌개/Noun 물질/Noun 나오다/Verb 사장/Noun 보이다/Verb 말씀드리다/Verb 참치/Noun 나오다/Verb 물질/Noun 안되다/Adjective 이상하다/Adjective 핑계/Noun 대다/Verb 그렇다/Adjective 엉뚱하다/Adjective 대처/Noun 적당하다/Adjective 대충/Noun 마무리/Noun 정상/Noun 대화/Noun 어리다/Verb 같다/Adjective 그냥/Noun 리뷰/Noun 남기다/Verb 사과/Noun 똑바로/Noun 해주다/Verb 워낙/Noun 유명하다/Adjective 항시/Noun 바쁘다/Adjective 보다/Verb 보다/Verb 그렇다/Adjective 생각/Noun 넘어가다/Verb 상황/Noun 굳이/Noun 저렇게/Adverb 이상하다/Adjective 응대/Noun 상식/Noun 아니다/Adjective 같다/Adjective 들다/Verb 식사/Noun 물질/Noun 음식/Noun 보다/Verb 확인/Noun 들다/Verb,54
naver,각시보쌈,brown28,1771,2026.04.26,4,영수증,요즘 같은 고물가시대에 더 가치가 돋보이는 혜자스러운 보쌈집입니다.. 가성비 좋고 푸짐하고 맛있는 점심한끼 사먹기 딱 좋습니다.. 1인씩 보쌈고기가 따로 제공되서 위생적이기도 하고 모호한 양이 아닌 각각 정량이 제공되는 장점까지 있어요.. 그리고 함께 제공되는 참치김치찌개도 별미입니다.. 찌개만으로도 밥 한공기는 거뜬히 비울 맛입니다.. 보쌈 고기도 가브리살 부위로 제공되 잡내없고 아주 부드럽습니다... 거기다 카운터를 보는 키 큰 여자분 손님응대가 참 친절하세요.. 덕분에 늘 기분 좋게 식사 하고 갑니다..,287,1,,,,18.200000000000003,1,high,1,,experience_context:+1.0 | has_menu:+0.3 | has_sensory_detail:+0.6 | strong_sensory_detail:+0.5 | menu_sensory_review:+1.0 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | has_reason_with_length:+0.8 | strong_reason_with_length:+0.8 | category_count:+1.4 | rich_category_context:+0.8 | multi_sentence_with_length:+0.8 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | enthusiastic_but_detailed_rich:+0.5 | revisit:+0.8 | account_review_count_over_100:+1.0 | has_photo_with_detail:+0.2,3,4,9,3,0,0,2,0,0,0,3,0,2,0,0,8,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,요즘 같은 고물가시대에 더 가치가 돋보이는 혜자스러운 보쌈집입니다 가성비 좋고 푸짐하고 맛있는 점심한끼 사먹기 딱 좋습니다 1인씩 보쌈고기가 따로 제공되서 위생적이기도 하고 모호한 양이 아닌 각각 정량이 제공되는 장점까지 있어요 그리고 함께 제공되는 참치김치찌개도 별미입니다 찌개만으로도 밥 한공기는 거뜬히 비울 맛입니다 보쌈 고기도 가브리살 부위로 제공되 잡내없고 아주 부드럽습니다 거기다 카운터를 보는 키 큰 여자분 손님응대가 참 친절하세요 덕분에 늘 기분 좋게 식사 하고 갑니다,요즘 같다 고물 가시대 가치 돋보이다 혜자 보쌈 이다 가성 좋다 푸다 맛있다 점심 먹기 좋다 보쌈 고기 따로 제공 위생 모호하다 아니다 각각 정량 제공 장점 함께 제공 참치 김치찌개 별미 이다 찌개 공기 거뜬하다 비우다 이다 보쌈 고기 가다 브리 부위 제공 잡다 아주 부드럽다 거기 카운터 보다 크다 여자 손님 응대 차다 친절하다 덕분 기분 좋다 식사 가다,요즘/Noun 같다/Adjective 고물/Noun 가시대/Noun 가치/Noun 돋보이다/Verb 혜자/Noun 보쌈/Noun 이다/Adjective 가성/Noun 좋다/Adjective 푸다/Verb 맛있다/Adjective 점심/Noun 먹기/Noun 좋다/Adjective 보쌈/Noun 고기/Noun 따로/Adverb 제공/Noun 위생/Noun 모호하다/Adjective 아니다/Adjective 각각/Noun 정량/Noun 제공/Noun 장점/Noun 함께/Adverb 제공/Noun 참치/Noun 김치찌개/Noun 별미/Noun 이다/Adjective 찌개/Noun 공기/Noun 거뜬하다/Adjective 비우다/Verb 이다/Adjective 보쌈/Noun 고기/Noun 가다/Verb 브리/Noun 부위/Noun 제공/Noun 잡다/Verb 아주/Noun 부드럽다/Adjective 거기/Noun 카운터/Noun 보다/Verb 크다/Verb 여자/Noun 손님/Noun 응대/Noun 차다/Verb 친절하다/Adjective 덕분/Noun 기분/Noun 좋다/Adjective 식사/Noun 가다/Verb,61
naver,각시보쌈,모나카아스크림,974,2026.04.21,1,영수증,"브레이크 타임 끝나고 들어갔어요. 각시 정식. 항정살 수육과 두부와 참치가 들어간 김치찌개까지 나와서 배부른 한상 입니다. 상추 추가시 2,000원인데 고기와 상추 갯수가 같으니까 추가 주문할 일은 없을듯- 5시 이후엔 1인 정식 주문이 안될수 있으니 참고하세요.",147,1,,,,5.4,0,high,1,,first_visit:-0.2 | experience_context:+1.0 | has_menu:+0.3 | has_quality_detail:+0.6 | category_count:+0.7 | multi_sentence_with_length:+0.8 | has_number_detail:+1 | account_review_count_over_100:+1.0 | has_photo_with_detail:+0.2,0,0,4,1,2,0,0,0,0,1,0,0,2,0,0,4,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,브레이크 타임 끝나고 들어갔어요 각시 정식 항정살 수육과 두부와 참치가 들어간 김치찌개까지 나와서 배부른 한상 입니다 상추 추가시 2 000원인데 고기와 상추 갯수가 같으니까 추가 주문할 일은 없을듯 5시 이후엔 1인 정식 주문이 안될수 있으니 참고하세요,브레이크 타임 끝나다 들어가다 각시 정식 항정살 수육 두부 참치 들어가다 김치찌개 나오다 배부르다 이다 상추 가시 고기 상추 갯수 같다 추가 주문 이후 정식 주문 안되다 참고,브레이크/Noun 타임/Noun 끝나다/Verb 들어가다/Verb 각시/Noun 정식/Noun 항정살/Noun 수육/Noun 두부/Noun 참치/Noun 들어가다/Verb 김치찌개/Noun 나오다/Verb 배부르다/Adjective 이다/Adjective 상추/Noun 가시/Noun 고기/Noun 상추/Noun 갯수/Noun 같다/Adjective 추가/Noun 주문/Noun 이후/Noun 정식/Noun 주문/Noun 안되다/Adjective 참고/Noun,28
naver,각시보쌈,Amy26,35,2026.04.18,1,예약,3시간 지나니깐 나가라고 눈치줘요. 양심껏 술 시키고 안주시켰는데.. 기분 안좋게 쫒겨나다시피 나왔네요. 다신 안갈꺼에요. 3-4번 방문했는데. 이런 푸대접 처음이네요. 다신 안가요!!,103,0,,,,6.4,1,high,1,,first_visit:-0.2 | generic_negative_weak_detail:-0.5 | experience_context:+1.0 | temporal_context:+1.0 | temporal_experience_review:+1.0 | has_reason_with_length:+0.8 | strong_reason_with_length:+0.8 | category_count:+0.7 | multi_sentence_with_length:+0.8 | has_number_detail:+1,0,3,0,1,2,2,0,0,0,0,0,0,4,2,0,7,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3시간 지나니깐 나가라고 눈치줘요 양심껏 술 시키고 안주시켰는데 기분 안좋게 쫒겨나다시피 나왔네요 다신 안갈꺼에요 3 4번 방문했는데 이런 푸대접 처음이네요 다신 안가요,지나 나가다 눈치 주다 양심 시키다 안주 시키다 기분 안좋다 쫒다 기다 나오다 다시다 갈다 방문 이렇다 푸대접 처음 다시다 알다,지나/Noun 나가다/Verb 눈치/Noun 주다/Verb 양심/Noun 시키다/Verb 안주/Noun 시키다/Verb 기분/Noun 안좋다/Adjective 쫒다/Verb 기다/Verb 나오다/Verb 다시다/Verb 갈다/Verb 방문/Noun 이렇다/Adjective 푸대접/Noun 처음/Noun 다시다/Verb 알다/Verb,21
naver,각시보쌈,딱지맘17,1132,2026.04.16,3,영수증,평일 점심인데도 사람 정말 많아요 보쌈 너무 맛있어요,29,1,,,,4.6,0,high,1,,short_generic_but_specific:-0.2 | has_menu:+0.3 | positive_narrative:+2.0 | category_count:+0.7 | enthusiastic_but_not_rich:+0 | short_but_menu_only_food_review:+0.2 | revisit:+0.8 | account_review_count_over_100:+1.0 | photo_without_enough_detail:-0.2,1,0,1,1,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,평일 점심인데도 사람 정말 많아요 보쌈 너무 맛있어요,평일 점심 사람 정말 많다 보쌈 너무 맛있다,평일/Noun 점심/Noun 사람/Noun 정말/Noun 많다/Adjective 보쌈/Noun 너무/Adverb 맛있다/Adjective,8
naver,각시보쌈,백수인,1607,2026.04.16,16,영수증,저는 보쌈을 별로 안 좋아합니다. 아내가 국밥류 전체.밀가루.물고기.양식.브런치.빵 등등을 별로 안 좋아해서 이것저것 제외하면 갈 곳이 별로 없습니다. T T,88,1,,,,7.699999999999999,1,high,1,,generic_negative_weak_detail:-0.5 | has_menu:+0.3 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | has_reason_with_length:+0.8 | strong_reason_with_length:+0.8 | multi_sentence_with_length:+0.8 | enthusiastic_but_not_rich:+0 | revisit:+0.8 | account_review_count_over_100:+1.0 | has_photo_with_detail:+0.2,2,2,5,0,0,3,0,0,0,0,0,0,0,0,0,8,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,저는 보쌈을 별로 안 좋아합니다 아내가 국밥류 전체 밀가루 물고기 양식 브런치 빵 등등을 별로 안 좋아해서 이것저것 제외하면 갈 곳이 별로 없습니다 T T,보쌈 별로 좋아하다 아내 국밥 전체 밀가루 물고기 양식 브런치 등등 별로 좋아하다 제외 갈다 별로,보쌈/Noun 별로/Noun 좋아하다/Adjective 아내/Noun 국밥/Noun 전체/Noun 밀가루/Noun 물고기/Noun 양식/Noun 브런치/Noun 등등/Noun 별로/Noun 좋아하다/Adjective 제외/Noun 갈다/Verb 별로/Noun,16
naver,각시보쌈,도토루짱,693,2026.04.15,1,예약,지인 추천으로 방문 금요일 갔더니 손님이 너무 많네요. 웨이팅이 있긴 했지만 음식이 맛있어서 또 갈듯.,57,1,,,,12.5,1,high,1,,first_visit:-0.2 | experience_context:+1.0 | temporal_context:+1.0 | temporal_experience_review:+1.0 | mixed_opinion_review:+1.5 | has_reason_with_length:+0.8 | category_count:+1.4 | rich_category_context:+0.8 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | waiting_or_popularity_context:+0.2 | enthusiastic_but_not_rich:+0 | account_review_count_over_100:+1.0 | photo_without_enough_detail:-0.2,2,2,0,2,0,0,1,0,1,0,0,1,1,1,0,2,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,지인 추천으로 방문 금요일 갔더니 손님이 너무 많네요 웨이팅이 있긴 했지만 음식이 맛있어서 또 갈듯,지인 추천 방문 금요일 가다 손님 너무 많다 웨이팅 음식 맛있다 갈다,지인/Noun 추천/Noun 방문/Noun 금요일/Noun 가다/Verb 손님/Noun 너무/Adverb 많다/Adjective 웨이팅/Noun 음식/Noun 맛있다/Adjective 갈다/Verb,12
naver,각시보쌈,북한산 방랑객,2248,2026.04.14,3,영수증,"올때마다 대기후 입장이었는데 대기없이 기분좋게 자리잡고, 벗과 함께 즐겁게 먹고 마시고 왔습니다 항정살 보쌈이라 부드럽고 입안에서 살살 녹는 식감 너무 좋아요",88,1,,,,18.200000000000003,1,high,1,,experience_context:+1.0 | has_menu:+0.3 | has_quality_detail:+0.6 | has_sensory_detail:+0.6 | strong_sensory_detail:+0.5 | menu_sensory_review:+1.0 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | has_reason_with_length:+0.8 | strong_reason_with_length:+0.8 | category_count:+1.4 | rich_category_context:+0.8 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | waiting_or_popularity_context:+0.2 | enthusiastic_but_detailed_rich:+0.5 | revisit:+0.8 | account_review_count_over_100:+1.0 | has_photo_with_detail:+0.2,1,5,1,2,0,0,2,0,1,1,2,2,3,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,올때마다 대기후 입장이었는데 대기없이 기분좋게 자리잡고 벗과 함께 즐겁게 먹고 마시고 왔습니다 항정살 보쌈이라 부드럽고 입안에서 살살 녹는 식감 너무 좋아요,기후 입장 이다 대기 없이 기분 좋다 자리 잡고 함께 즐겁다 먹다 말다 오다 항정살 보쌈 부드럽다 입안 살살 녹다 식감 너무 좋다,기후/Noun 입장/Noun 이다/Verb 대기/Noun 없이/Adverb 기분/Noun 좋다/Adjective 자리/Noun 잡고/Noun 함께/Adverb 즐겁다/Adjective 먹다/Verb 말다/Verb 오다/Verb 항정살/Noun 보쌈/Noun 부드럽다/Adjective 입안/Noun 살살/Noun 녹다/Verb 식감/Noun 너무/Adverb 좋다/Adjective,23
naver,각시보쌈,하겐다즈매니아,784,2026.04.13,3,영수증,근처 참손길 마사지왔다가 방문했어요 각시보쌈은 애매한시간에 오는게 꿀팁 고기야들야들 보쌈김치도 맛있고 찬도 많은데 이가격 안믿겨요ㅠㅠ 각시보쌈 가게 오래오래 해주세요 ❤️,95,1,,,,13.8,1,high,1,,experience_context:+1.0 | has_menu:+0.3 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | mixed_opinion_context:+0.8 | has_reason_with_length:+0.8 | category_count:+0.7 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | enthusiastic_but_detailed_rich:+0.5 | revisit:+0.8 | account_review_count_over_100:+1.0 | has_photo_with_detail:+0.2,1,1,5,1,0,0,1,0,0,0,0,0,2,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,근처 참손길 마사지왔다가 방문했어요 각시보쌈은 애매한시간에 오는게 꿀팁 고기야들야들 보쌈김치도 맛있고 찬도 많은데 이가격 안믿겨요ㅠㅠ 각시보쌈 가게 오래오래 해주세요,근처 차다 손길 마사지 오다 방문 보쌈 애매하다 시간 오다 꿀팁 고기 야들야들 보쌈김치 맛있다 많다 가격 믿다 각시 보쌈 가게 오래오래 해주다,근처/Noun 차다/Verb 손길/Noun 마사지/Noun 오다/Verb 방문/Noun 보쌈/Noun 애매하다/Adjective 시간/Noun 오다/Verb 꿀팁/Noun 고기/Noun 야들야들/Noun 보쌈김치/Noun 맛있다/Adjective 많다/Adjective 가격/Noun 믿다/Verb 각시/Noun 보쌈/Noun 가게/Noun 오래오래/Noun 해주다/Verb,23
naver,각시보쌈,쮸크81,1467,2026.04.11,5,영수증,보쌈이 먹고싶을때 첫번째로 생각나는 각시집~ 고기가 야들야들하고 씹을수록 고소해서 배가부른데도 끊임없이 들어가는맛 ㅎ보쌈+참치김치찌개는 환상궁합 웨이팅이 길어서 오래기다리는 불편함이 있지만 맛있으니까 😢,113,1,,,,18.5,1,high,1,,experience_context:+1.0 | has_menu:+0.3 | has_quality_detail:+0.6 | has_sensory_detail:+0.6 | menu_sensory_review:+1.0 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | has_reason_with_length:+0.8 | strong_reason_with_length:+0.8 | category_count:+1.4 | rich_category_context:+0.8 | multi_sentence_with_length:+0.8 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | waiting_or_popularity_context:+0.2 | enthusiastic_but_detailed_rich:+0.5 | revisit:+0.8 | account_review_count_over_100:+1.0 | has_photo_with_detail:+0.2,1,4,5,2,0,0,2,0,0,1,1,1,4,0,0,2,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,보쌈이 먹고싶을때 첫번째로 생각나는 각시집 고기가 야들야들하고 씹을수록 고소해서 배가부른데도 끊임없이 들어가는맛 ㅎ보쌈 참치김치찌개는 환상궁합 웨이팅이 길어서 오래기다리는 불편함이 있지만 맛있으니까,보쌈 먹다 생각나다 시집 고기 야들야들하다 씹다 고소하다 부르다 끊임없다 들어가다 보쌈 참치 김치찌개 환상 궁합 웨이팅 기다 오래 기다리다 불편하다 맛있다,보쌈/Noun 먹다/Verb 생각나다/Verb 시집/Noun 고기/Noun 야들야들하다/Adjective 씹다/Verb 고소하다/Adjective 부르다/Verb 끊임없다/Adjective 들어가다/Verb 보쌈/Noun 참치/Noun 김치찌개/Noun 환상/Noun 궁합/Noun 웨이팅/Noun 기다/Verb 오래/Adverb 기다리다/Verb 불편하다/Adjective 맛있다/Adjective,22
